"Reference","MPN","Footprint","Status","Source","Evidence","Assembly note"
"C23","C315C104K5R5TA","KK_Main:KEMET_C315_P2p54","DATASHEET_DIMENSIONS_CHECKED","custom","KEMET exact C315C104K5R5TA / C315C103J1G5TA / C315C105K5R5TA sheets: 3.81 x 2.54 mm max body, 2.54 mm pitch, wire <=0.61 mm","Project-local drawing. See footprint audit for prototype holds."
"R34","MFR-25FBF52-4R7","KK_Main:MFR25_10p16","DATASHEET_DIMENSIONS_CHECKED","Resistor_THT/R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","Yageo MFR-25: body 6.3+/-0.5 x 2.4+/-0.2 mm; wire 0.55+/-0.05 mm","Form axial leads to 10.16 mm pitch; do not seat body under mechanical stress."
"C24","C315C104K5R5TA","KK_Main:KEMET_C315_P2p54","DATASHEET_DIMENSIONS_CHECKED","custom","KEMET exact C315C104K5R5TA / C315C103J1G5TA / C315C105K5R5TA sheets: 3.81 x 2.54 mm max body, 2.54 mm pitch, wire <=0.61 mm","Project-local drawing. See footprint audit for prototype holds."
"R35","MFR-25FBF52-4R7","KK_Main:MFR25_10p16","DATASHEET_DIMENSIONS_CHECKED","Resistor_THT/R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","Yageo MFR-25: body 6.3+/-0.5 x 2.4+/-0.2 mm; wire 0.55+/-0.05 mm","Form axial leads to 10.16 mm pitch; do not seat body under mechanical stress."
"Q6","LP0701N3-G","KK_Main:TO92_LeadFormed_P2p54","DATASHEET_DIMENSIONS_CHECKED","Package_TO_SOT_THT/TO-92_Inline_Wide","onsemi KSP2222ABU / BC32725BU and Microchip TN0702N3-G / LP0701N3-G package drawings","WIDE footprint requires spreading native 1.27 mm leads to 2.54 mm using a jig; flat face follows F.Fab. Pins 1-2-3: KSP E-B-C; BC327 C-B-E; TN0702 and LP0701 S-G-D."
"Q5","TN0702N3-G","KK_Main:TO92_LeadFormed_P2p54","DATASHEET_DIMENSIONS_CHECKED","Package_TO_SOT_THT/TO-92_Inline_Wide","onsemi KSP2222ABU / BC32725BU and Microchip TN0702N3-G / LP0701N3-G package drawings","WIDE footprint requires spreading native 1.27 mm leads to 2.54 mm using a jig; flat face follows F.Fab. Pins 1-2-3: KSP E-B-C; BC327 C-B-E; TN0702 and LP0701 S-G-D."
"R36","MFR-25FBF52-1K","KK_Main:MFR25_10p16","DATASHEET_DIMENSIONS_CHECKED","Resistor_THT/R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","Yageo MFR-25: body 6.3+/-0.5 x 2.4+/-0.2 mm; wire 0.55+/-0.05 mm","Form axial leads to 10.16 mm pitch; do not seat body under mechanical stress."
"R37","MFR-25FBF52-100K","KK_Main:MFR25_10p16","DATASHEET_DIMENSIONS_CHECKED","Resistor_THT/R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","Yageo MFR-25: body 6.3+/-0.5 x 2.4+/-0.2 mm; wire 0.55+/-0.05 mm","Form axial leads to 10.16 mm pitch; do not seat body under mechanical stress."
"R38","MFR-25FBF52-1K","KK_Main:MFR25_10p16","DATASHEET_DIMENSIONS_CHECKED","Resistor_THT/R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","Yageo MFR-25: body 6.3+/-0.5 x 2.4+/-0.2 mm; wire 0.55+/-0.05 mm","Form axial leads to 10.16 mm pitch; do not seat body under mechanical stress."
"R39","MFR-25FBF52-100K","KK_Main:MFR25_10p16","DATASHEET_DIMENSIONS_CHECKED","Resistor_THT/R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","Yageo MFR-25: body 6.3+/-0.5 x 2.4+/-0.2 mm; wire 0.55+/-0.05 mm","Form axial leads to 10.16 mm pitch; do not seat body under mechanical stress."
"C25","UVR1C101MDD","KK_Main:Nichicon_UVR_D5_P2","DATASHEET_DIMENSIONS_CHECKED","Capacitor_THT/CP_Radial_D5.0mm_P2.00mm","Nichicon UVR1C100MDD / UVR1C101MDD: 5 mm diameter, 11 mm height, 2 mm lead pitch","Both values use the same diameter/pitch; keep the 11 mm body outside the under-screen volume."
"C26","C315C104K5R5TA","KK_Main:KEMET_C315_P2p54","DATASHEET_DIMENSIONS_CHECKED","custom","KEMET exact C315C104K5R5TA / C315C103J1G5TA / C315C105K5R5TA sheets: 3.81 x 2.54 mm max body, 2.54 mm pitch, wire <=0.61 mm","Project-local drawing. See footprint audit for prototype holds."
